Name,Address,Featured image,Bing Maps URL,Latitude,Longitude,Website,Phone,Emails,Social Medias,Facebook,Instagram,Twitter
Haleem Ghar,"Pir Plaza, Sumbal Road, Islamabad 44000",https://www.bing.com/th?id=OLC.0UIOF0qrKtKl5w480x360&pid=Local,https://www.bing.com/maps?cp=33.7101936340332%7E73.05758666992188&lvl=17.0&q=Haleem%20Ghar%20%2C%20Pir%20Plaza%2C%20Sumbal%20Road%2C%20Islamabad%2044000,33.7101936340332,73.05758666992188,https://haleemghar.com.pk/,,***PRO***,***PRO***,***PRO***,***PRO***,***PRO***
Tehzeeb Bakers,"81 Jinnah Avenue Blue Area, Islamabad, Islāmābād",https://www.bing.com/th?id=OLC.PIgyaPyXVYScmA480x360&pid=Local,https://www.bing.com/maps?cp=33.71552658081055%7E73.06836700439453&lvl=17.0&q=Tehzeeb%20Bakers%20%2C%2081%20Jinnah%20Avenue%20Blue%20Area%2C%20Islamabad%2C%20Isl%C4%81m%C4%81b%C4%81d,33.71552658081055,73.06836700439453,https://www.tehzeeb.com/,(051) 2802191,***PRO***,***PRO***,***PRO***,***PRO***,***PRO***
Savour Foods,College road 46000,https://www.bing.com/th?id=OLC.WfC3RNnY/1aosQ480x360&pid=Local,https://www.bing.com/maps?cp=33.71331024169922%7E73.06346893310547&lvl=17.0&q=Savour%20Foods%20%2C%20College%20road%2046000,33.71331024169922,73.06346893310547,http://savourfoods.com.pk/,,***PRO***,***PRO***,***PRO***,***PRO***,***PRO***
Pizza Party,"64-b Nazimuddin Road,f-7/4, Islamabad, Islamabad Capital Territory 44000",https://www.bing.com/th?id=OLC.8803hZNK1IJaDQ480x360&pid=Local,https://www.bing.com/maps?cp=33.72288131713867%7E73.05937194824219&lvl=17.0&q=Pizza%20Party%20%2C%2064-b%20Nazimuddin%20Road%2Cf-7%2F4%2C%20Islamabad%2C%20Islamabad%20Capital%20Territory%2044000,33.72288131713867,73.05937194824219,,0320 2220333,***PRO***,***PRO***,***PRO***,***PRO***,***PRO***
Dragon City Chinese Restaurant Islamabad,"108-W Jinnah Avenue, Blue Area, Islamabad, Islāmābād 44000",https://www.bing.com/th?id=OLC.I3Hb/qlDmdFDTA480x360&pid=Local,https://www.bing.com/maps?cp=33.71074676513672%7E73.05903625488281&lvl=17.0&q=Dragon%20City%20Chinese%20Restaurant%20Islamabad%20%2C%20108-W%20Jinnah%20Avenue%2C%20Blue%20Area%2C%20Islamabad%2C%20Isl%C4%81m%C4%81b%C4%81d%2044000,33.71074676513672,73.05903625488281,,,***PRO***,***PRO***,***PRO***,***PRO***,***PRO***
Des Pardes Restaurant,"Saidpur Village, Islamabad 44000",https://www.bing.com/th?id=OLC.zv7DhibVuJSMDA480x360&pid=Local,https://www.bing.com/maps?cp=33.74415588378906%7E73.06782531738281&lvl=17.0&q=Des%20Pardes%20Restaurant%20%2C%20Saidpur%20Village%2C%20Islamabad%2044000,33.74415588378906,73.06782531738281,https://www.facebook.com/DespardesRestaurant/,,***PRO***,***PRO***,***PRO***,***PRO***,***PRO***
Golden Dragon,"Round Market, Street 4, F-7/3, Islamabad, Islamabad Capital Territory 44000",https://www.bing.com/th?id=OLC.JpmuSPVIvUtkTQ480x360&pid=Local,https://www.bing.com/maps?cp=33.72636795043945%7E73.0579833984375&lvl=17.0&q=Golden%20Dragon%20%2C%20Round%20Market%2C%20Street%204%2C%20F-7%2F3%2C%20Islamabad%2C%20Islamabad%20Capital%20Territory%2044000,33.72636795043945,73.0579833984375,,,***PRO***,***PRO***,***PRO***,***PRO***,***PRO***
Burger Fest,"Gol Market Near Crunchies, F7 Markaz, Islamabad, Islāmābād 44000",https://www.bing.com/th?id=OLC.t887PhVwzY9E9A480x360&pid=Local,https://www.bing.com/maps?cp=33.72193908691406%7E73.05799102783203&lvl=17.0&q=Burger%20Fest%20%2C%20Gol%20Market%20Near%20Crunchies%2C%20F7%20Markaz%2C%20Islamabad%2C%20Isl%C4%81m%C4%81b%C4%81d%2044000,33.72193908691406,73.05799102783203,,0331 6957476,***PRO***,***PRO***,***PRO***,***PRO***,***PRO***
Five Diner,"Plot # 13/a , College Road F-7 Markaz, Islamabad, Islamabad Capital Territory 44000",https://www.bing.com/th?id=OLC.YvXxmm/d4evevg480x360&pid=Local,https://www.bing.com/maps?cp=33.72018051147461%7E73.053466796875&lvl=17.0&q=Five%20Diner%20%2C%20Plot%20%23%2013%2Fa%20%2C%20College%20Road%20F-7%20Markaz%2C%20Islamabad%2C%20Islamabad%20Capital%20Territory%2044000,33.72018051147461,73.053466796875,,,***PRO***,***PRO***,***PRO***,***PRO***,***PRO***
Rewayat,"G-11 markaz, Islamabad, Islamabad Capital Territory,44000",https://www.bing.com/th?id=OLC.FEoXvMGdu4dv/A480x360&pid=Local,https://www.bing.com/maps?cp=33.669734954833984%7E72.99961853027344&lvl=17.0&q=Rewayat%20%2C%20G-11%20markaz%2C%20Islamabad%2C%20Islamabad%20Capital%20Territory%2C44000,33.669734954833984,72.99961853027344,https://rewayat.com.pk/,(051) 8747777,***PRO***,***PRO***,***PRO***,***PRO***,***PRO***
Upgrade to Pro plan for unlimited scraping!,,,,,,,,,,,,